epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,331.992,0.78228,0.64103,1.13566,0.87485,0.88981,0.98833,0.82079,0.75839,0.7137,1.18403,0.000539057,0.000539057,0.000539057
80,336.233,0.75431,0.61341,1.10068,0.86488,0.91034,0.98357,0.81074,0.74035,0.66201,1.2092,0.000531725,0.000531725,0.000531725
81,340.29,0.81504,0.61885,1.16634,0.92937,0.81596,0.96833,0.79412,0.79036,0.63707,1.19098,0.000524392,0.000524392,0.000524392
82,344.401,0.77014,0.6482,1.12301,0.8911,0.94565,0.975,0.8064,0.75246,0.53223,1.17628,0.000517059,0.000517059,0.000517059
83,348.562,0.78247,0.65272,1.15193,0.93444,0.8911,0.98833,0.83637,0.71595,0.52006,1.15995,0.000509727,0.000509727,0.000509727
84,352.829,0.71306,0.60659,1.11034,0.93373,0.895,0.97357,0.78923,0.82124,0.60176,1.26819,0.000502394,0.000502394,0.000502394
85,356.944,0.72561,0.56936,1.13333,0.85842,0.81237,0.89232,0.74926,0.75913,0.73967,1.19482,0.000495062,0.000495062,0.000495062
86,361.103,0.75104,0.58969,1.11429,0.95021,0.78559,0.93217,0.77775,0.79405,0.66428,1.20806,0.000487729,0.000487729,0.000487729
87,365.109,0.78262,0.60956,1.14445,0.86937,0.94085,0.97,0.77487,0.83481,0.59887,1.23087,0.000480396,0.000480396,0.000480396
88,369.252,0.73672,0.60029,1.12981,0.91203,0.97962,0.98167,0.79327,0.80955,0.57283,1.20983,0.000473064,0.000473064,0.000473064
89,373.362,0.70398,0.55245,1.10686,0.89402,0.9553,0.96833,0.77418,0.83251,0.58608,1.22562,0.000465731,0.000465731,0.000465731
90,377.472,0.77792,0.62462,1.15216,0.8965,0.8455,0.96056,0.77521,0.79395,0.60431,1.24879,0.000458399,0.000458399,0.000458399
91,381.646,0.7717,0.61837,1.12042,0.87322,0.82534,0.94524,0.77163,0.77792,0.67353,1.20244,0.000451066,0.000451066,0.000451066
92,385.803,0.71935,0.58393,1.10462,0.92864,0.83105,0.96214,0.79924,0.73881,0.68248,1.16865,0.000443733,0.000443733,0.000443733
93,389.84,0.73542,0.59332,1.11701,0.82733,0.94001,0.92583,0.72247,0.83996,0.66509,1.24715,0.000436401,0.000436401,0.000436401
94,393.844,0.6955,0.54961,1.10249,0.85188,0.8343,0.92595,0.7441,0.85112,0.69187,1.24579,0.000429068,0.000429068,0.000429068
95,397.965,0.69564,0.5463,1.09822,0.77522,0.89455,0.92509,0.73015,0.83294,0.68889,1.23975,0.000421736,0.000421736,0.000421736
96,402.073,0.70343,0.54043,1.10553,0.83638,0.82909,0.92985,0.77771,0.72084,0.6242,1.16618,0.000414403,0.000414403,0.000414403
97,406.199,0.73211,0.53992,1.11137,0.97049,0.8283,0.95389,0.79905,0.73029,0.54323,1.17974,0.00040707,0.00040707,0.00040707
98,410.452,0.67588,0.54333,1.11207,0.85337,0.93991,0.96929,0.82229,0.67186,0.67225,1.13842,0.000399738,0.000399738,0.000399738
99,414.562,0.66765,0.51426,1.07404,0.81747,0.91806,0.95167,0.80987,0.67144,0.63918,1.16752,0.000392405,0.000392405,0.000392405
100,418.716,0.69341,0.52613,1.11328,0.82,0.9301,0.95714,0.78825,0.68202,0.56361,1.1664,0.000385073,0.000385073,0.000385073
101,422.827,0.65139,0.49727,1.08623,0.81987,0.89499,0.93333,0.75988,0.82739,0.65244,1.24788,0.00037774,0.00037774,0.00037774
102,426.989,0.6599,0.54443,1.06483,0.83233,0.91335,0.92,0.75044,0.81005,0.67148,1.24324,0.000370407,0.000370407,0.000370407
103,431.09,0.63677,0.48246,1.05864,0.95053,0.79009,0.94757,0.78998,0.72039,0.62249,1.17544,0.000363075,0.000363075,0.000363075
104,435.26,0.65375,0.51358,1.06726,0.84643,0.87134,0.95167,0.79637,0.79374,0.75094,1.22713,0.000355742,0.000355742,0.000355742
105,439.419,0.69861,0.5168,1.10237,0.87534,0.84555,0.94214,0.77576,0.73115,0.74598,1.22142,0.00034841,0.00034841,0.00034841
106,443.711,0.70184,0.50359,1.08613,0.97987,0.78823,0.96857,0.77712,0.88822,0.73259,1.31012,0.000341077,0.000341077,0.000341077
107,447.921,0.71239,0.5528,1.10695,0.86732,0.8838,0.96857,0.77483,0.87444,0.71055,1.32961,0.000333744,0.000333744,0.000333744
108,451.998,0.71721,0.54972,1.10465,0.89267,0.87823,0.9669,0.77996,0.77476,0.65189,1.24897,0.000326412,0.000326412,0.000326412
109,456.167,0.62563,0.50319,1.05936,0.84717,0.95564,0.965,0.78617,0.80033,0.54039,1.21804,0.000319079,0.000319079,0.000319079
110,460.295,0.63343,0.49396,1.05838,0.92205,0.87875,0.945,0.77855,0.72665,0.50358,1.18999,0.000311747,0.000311747,0.000311747
111,464.429,0.68038,0.48387,1.0724,0.84064,0.92984,0.93667,0.77903,0.69734,0.57981,1.16946,0.000304414,0.000304414,0.000304414
112,468.701,0.6722,0.49367,1.07806,0.85462,0.8173,0.88961,0.72228,0.7388,0.70821,1.17766,0.000297081,0.000297081,0.000297081
113,472.88,0.65332,0.51464,1.07575,0.80318,0.83262,0.89222,0.74093,0.73574,0.74646,1.18522,0.000289749,0.000289749,0.000289749
114,477.138,0.65029,0.49056,1.07069,0.82507,0.81964,0.86835,0.72912,0.71698,0.7429,1.17676,0.000282416,0.000282416,0.000282416
115,481.317,0.6227,0.4873,1.07539,0.88313,0.81131,0.90517,0.74473,0.76222,0.75498,1.22809,0.000275084,0.000275084,0.000275084
116,485.505,0.64964,0.47496,1.06567,0.8427,0.93576,0.95071,0.76482,0.8298,0.66993,1.28289,0.000267751,0.000267751,0.000267751
117,489.833,0.6168,0.47247,1.05402,0.96789,0.83569,0.97214,0.80617,0.78725,0.56679,1.2114,0.000260418,0.000260418,0.000260418
118,494.028,0.60268,0.4645,1.03454,0.8901,0.7197,0.92395,0.76725,0.70043,0.71657,1.1562,0.000253086,0.000253086,0.000253086
119,498.188,0.6306,0.49141,1.06597,0.90255,0.76316,0.93907,0.78494,0.68838,0.63498,1.15355,0.000245753,0.000245753,0.000245753
120,502.438,0.63132,0.50296,1.06814,0.89182,0.79334,0.91933,0.77305,0.71995,0.64301,1.17766,0.000238421,0.000238421,0.000238421
121,506.597,0.60695,0.48264,1.03962,0.82918,0.89606,0.89722,0.73597,0.74491,0.64882,1.20665,0.000231088,0.000231088,0.000231088
122,510.729,0.60084,0.44778,1.04335,0.89939,0.88797,0.92119,0.76603,0.74409,0.57713,1.22161,0.000223755,0.000223755,0.000223755
123,514.883,0.60098,0.45907,1.05158,0.87232,0.94082,0.95667,0.78442,0.73236,0.53064,1.21008,0.000216423,0.000216423,0.000216423
